dates,gdp_data,dYq,dYm,MF,trend
1973m1,NaN,4.8227093546483,0.542476319652359,1.31059138720485,3.12745022162874
1973m2,NaN,6.10624022855564,0.601563401081627,1.53919764305995,3.12244062998408
1973m3,6.66131090166058,6.6613098842907,0.52128775033869,1.20679027648363,3.11743103833942
1973m4,NaN,5.79346356171045,0.325514739007297,0.495010911895323,3.1115432366019
1973m5,NaN,3.81076546513652,0.105888876938143,0.352774684805077,3.10565543486439
1973m6,1.23130571387312,1.23130534793669,-0.123577278961268,0.363616973256933,3.09976763312688
1973m7,NaN,-1.97711659393901,-0.476590746461629,0.308257096482574,3.09334305975884
1973m8,NaN,-4.49595441738105,-0.523820578922366,-0.183286904269312,3.08691848639079
1973m9,-5.18965527602275,-5.18965402362634,-0.297002180522589,-0.231468691140215,3.08049391302275
1973m10,NaN,-2.77285542719776,0.127608902645516,0.103045002731182,3.07388196216336
1973m11,NaN,-0.138897594309953,0.134668879299585,0.193242252127675,3.06727001130398
1973m12,0.71833630455541,0.718336243170575,-0.082693721152457,-0.535703682502298,3.06065806044459
1974m1,NaN,-1.79429224718525,-0.50054821994344,-0.907495886677534,3.05413792265035
1974m2,NaN,-4.75952338676915,-0.606638905596391,-0.998957968498924,3.04761778485611
1974m3,-6.49502718406187,-6.49502623783313,-0.516569433918451,-0.982157018899746,3.04109764706187
1974m4,NaN,-5.21395356088774,-0.180280050707094,-0.602960643109855,3.03490194906012
1974m5,NaN,-3.28595215016165,-0.124638552914867,-0.157473690428533,3.02870625105838
1974m6,-2.07293020005663,-2.07292974517177,-0.213313832670981,-0.452287060244899,3.02251055305663
1974m7,NaN,-3.22315291749344,-0.467835843787511,-0.277929914029216,3.01680619224755
1974m8,NaN,-5.26215276593211,-0.634388515024536,-0.795216047014204,3.01110183143846
1974m9,-6.80391155362938,-6.80391093103789,-0.598753373947425,-1.48737549398216,3.00539747062938
1974m10,NaN,-6.05639822900381,-0.280957668278992,-1.70375282496543,3.00024214438412
1974m11,NaN,-4.94347887951008,-0.356158677651104,-3.19224599344874,2.99508681813887
1974m12,-4.54551745989361,-4.54551887134059,-0.499263371905051,-3.84424284574087,2.98993149189361
1975m1,NaN,-6.00146381231957,-0.644943903523737,-3.32659621674234,2.98529885683374
1975m2,NaN,-7.36601526154332,-0.697296539957042,-3.23367508846924,2.98066622177386
1975m3,-7.87511478971399,-7.87511526329972,-0.626538372344152,-2.4586240735154,2.97603358671399
1975m4,NaN,-6.45073681778883,-0.288849292146013,-1.568344585979,2.97190069449853
1975m5,NaN,-3.49370627748293,0.0419610951194316,-0.666302659074956,2.96776780228307
1975m6,-0.115623120067605,-0.115623489795958,0.217982324577592,-0.0379580409943001,2.96363491006761
1975m7,NaN,2.85307525699854,0.453325394552612,0.751534219299567,2.95998584507679
1975m8,NaN,3.97700529745359,0.322943605233194,0.754505077020639,2.95633678008597
1975m9,3.83600718090486,3.836006945725,0.182732736645445,0.914075248652162,2.95268771509514
1975m10,NaN,2.44973879986296,0.106758358087103,0.87136617447271,2.94955374992587
1975m11,NaN,1.8037582651932,0.161448471565752,0.621270973581889,2.94641978475659
1975m12,2.40680480941269,2.4068047841833,0.33349436639297,0.992800255530187,2.94328581958731
1976m1,NaN,4.0024151434304,0.505660947898879,1.2531782509775,2.94068208058323
1976m2,NaN,5.61947203457688,0.565712694352372,1.31774693075586,2.93807834157916
1976m3,5.95992173042492,5.95992112813812,0.41860663978328,0.981106783436601,2.93547460257508
1976m4,NaN,4.5587896223231,0.155378071445124,0.760106090272482,2.9333689371107
1976m5,NaN,2.11790168654036,-0.0445092895933149,0.31003721465937,2.93126327164631
1976m6,-0.00508917718193302,-0.0050888951077743,-0.112141005628753,0.134255241973035,2.92915760618193
1976m7,NaN,-0.900113236121739,-0.068378013808367,0.275689721910913,2.92749814571273
