a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,a1_1_1_sync_1,a1_1_1_sync_2,a1_2_1_sync_1,a1_2_1_sync_2,a1_3_1_sync_1,a1_3_1_sync_2,a1_1_2_sync_1,a1_1_2_sync_2,a1_2_2_sync_1,a1_2_2_sync_2,a1_3_2_sync_1,a1_3_2_sync_2,a1_1_3_sync_1,a1_1_3_sync_2,a1_2_3_sync_1,a1_2_3_sync_2,a1_3_3_sync_1,a1_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
1.8023,0.7874,0.6607,0.4296,0.3255,0.4399,-0.1044,0.2473,0.0404,0.0112,0.0217,0.0171,1,1,-0.0695,-0.0508,-0.0225,-0.0219,0,0,1,1,-1.9274,-2.4475,0,0,0,0,1,1,0.8696,0.8035,-0.1312,-0.2037,-0.0775,0.0675,0.0172,-0.1122,0.3449,0.5776,-1.6193,-1.083,0.0037,0.0079,0.0264,0.0032,0.8079,0.6903,0.3039,1.0335,0.4659,0.826,1.0072,2.0256
1.38,0.27,0.33,0.17,0.14,0.19,-0.15,0.08,-0.02,-0.13,0.02,0.02,1,1,-0.22,-0.16,-0.32,-0.27,0,0,1,1,-2.14,-2.77,0,0,0,0,1,1,0.83,0.72,-0.27,-0.31,-0.38,-0.2,-0.05,-0.31,0.24,0.42,-1.86,-1.49,-0.01,-0.04,0,-0.04,0.75,0.59,0.27,0.93,0.43,0.75,0.92,1.83
2.24,1.26,1.06,0.85,0.6,0.8,-0.06,0.43,0.1,0.15,0.03,0.02,1,1,0.08,0.05,0.28,0.22,0,0,1,1,-1.71,-2.11,0,0,0,0,1,1,0.91,0.88,0.01,-0.1,0.22,0.33,0.09,0.08,0.45,0.74,-1.37,-0.67,0.02,0.05,0.05,0.04,0.86,0.78,0.33,1.15,0.5,0.92,1.09,2.25
