a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,a1_1_1_sync_1,a1_1_1_sync_2,a1_2_1_sync_1,a1_2_1_sync_2,a1_3_1_sync_1,a1_3_1_sync_2,a1_1_2_sync_1,a1_1_2_sync_2,a1_2_2_sync_1,a1_2_2_sync_2,a1_3_2_sync_1,a1_3_2_sync_2,a1_1_3_sync_1,a1_1_3_sync_2,a1_2_3_sync_1,a1_2_3_sync_2,a1_3_3_sync_1,a1_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
1.7894,0.7715,0.6515,0.4025,0.3255,0.4214,-0.1058,0.2514,0.0421,0.0046,0.019,0.0171,1,1,-0.079,-0.0501,-0.0078,-0.0247,0,0,1,1,-1.9226,-2.4529,0,0,0,0,1,1,0.8698,0.8022,-0.1427,-0.2023,-0.0705,0.0598,0.0158,-0.1055,0.3452,0.5742,-1.6122,-1.0921,0.0037,0.0063,0.0262,0.0033,0.8075,0.6872,0.3036,1.0355,0.4642,0.8247,1.0048,2.0267
1.38,0.29,0.33,0.16,0.14,0.18,-0.15,0.09,-0.02,-0.14,0.02,0.02,1,1,-0.23,-0.16,-0.31,-0.28,0,0,1,1,-2.13,-2.77,0,0,0,0,1,1,0.83,0.72,-0.28,-0.31,-0.36,-0.22,-0.06,-0.3,0.24,0.42,-1.86,-1.49,-0.01,-0.04,0,-0.04,0.75,0.59,0.27,0.93,0.43,0.75,0.92,1.84
2.21,1.24,1.04,0.81,0.61,0.78,-0.06,0.43,0.1,0.14,0.02,0.02,1,1,0.07,0.05,0.29,0.22,0,0,1,1,-1.71,-2.12,0,0,0,0,1,1,0.91,0.88,0.01,-0.09,0.22,0.33,0.09,0.08,0.45,0.73,-1.37,-0.64,0.02,0.05,0.05,0.04,0.86,0.78,0.33,1.16,0.5,0.92,1.09,2.26
