a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,a1_1_1_sync_1,a1_1_1_sync_2,a1_2_1_sync_1,a1_2_1_sync_2,a1_3_1_sync_1,a1_3_1_sync_2,a1_1_2_sync_1,a1_1_2_sync_2,a1_2_2_sync_1,a1_2_2_sync_2,a1_3_2_sync_1,a1_3_2_sync_2,a1_1_3_sync_1,a1_1_3_sync_2,a1_2_3_sync_1,a1_2_3_sync_2,a1_3_3_sync_1,a1_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
1.8658,1.0353,0.6764,0.4686,0.2702,0.3899,-0.1052,0.2302,0.0366,0.0432,0.1948,0.1866,1,1,-0.12,-0.0393,-0.1586,-0.0056,0,0,1,1,-1.9486,-2.5569,0,0,0,0,1,1,0.8715,0.8092,-0.1921,-0.1932,-0.2511,-0.0021,0.0059,-0.1073,0.3511,0.5651,0.1436,1.0233,0.0056,0.0044,0.0045,0.0134,0,0,0.2956,1.0108,0.4512,0.817,1.5975,2.9509
1.49,0.57,0.34,0.18,0.11,0.16,-0.15,0.08,-0.02,-0.09,0.02,0.01,1,1,-0.27,-0.15,-0.71,-0.38,0,0,1,1,-2.37,-3.03,0,0,0,0,1,1,0.82,0.73,-0.34,-0.3,-0.76,-0.4,-0.06,-0.3,0.25,0.41,-0.23,0.56,-0.01,-0.04,-0.03,-0.02,0,0,0.27,0.91,0.42,0.74,1.48,2.68
2.29,1.55,1.09,0.9,0.52,0.72,-0.06,0.4,0.1,0.17,0.37,0.36,1,1,0.04,0.07,0.41,0.36,0,0,1,1,-1.53,-2.07,0,0,0,0,1,1,0.91,0.89,-0.05,-0.09,0.28,0.39,0.08,0.07,0.46,0.72,0.48,1.51,0.02,0.05,0.04,0.05,0,0,0.33,1.13,0.49,0.91,1.72,3.3
