Date,Monthly Residuals
2013-07-01,-0.005915
2013-08-01,0
2013-09-01,0.012797
2013-10-01,0.00482
2013-11-01,0
2013-12-01,0.010607
2014-01-01,0.011671
2014-02-01,0
2014-03-01,0.009084
2014-04-01,-2.77e-4
2014-05-01,0
2014-06-01,-6.36e-4
2014-07-01,-0.005321
2014-08-01,0
2014-09-01,0.009025
2014-10-01,0.017367
2014-11-01,0
2014-12-01,0.012741
2015-01-01,0.010854
2015-02-01,0
2015-03-01,-0.014945
2015-04-01,-0.015066
2015-05-01,0
2015-06-01,-0.024355
2015-07-01,-0.009013
2015-08-01,0
2015-09-01,-0.046685
2015-10-01,0.027552
2015-11-01,0
2015-12-01,0.025614
2016-01-01,0.008399
2016-02-01,0
2016-03-01,-0.028668
2016-04-01,-0.006288
2016-05-01,0
2016-06-01,-0.036251
2016-07-01,-0.00239
2016-08-01,0
2016-09-01,-0.023298
2016-10-01,0
2016-11-01,-0.002172
2016-12-01,0.009114
2017-01-01,0
2017-02-01,-0.008046
2017-03-01,-0.026728
2017-04-01,0
2017-05-01,0.002512
2017-06-01,0.009783
2017-07-01,-0.009652
2017-08-01,0
2017-09-01,0.0261
2017-10-01,0
2017-11-01,0.004448
2017-12-01,0.001448
2018-01-01,0.021587
2018-02-01,0
2018-03-01,-3.8e-5
2018-04-01,0
2018-05-01,0.012279
2018-06-01,0.004327
2018-07-01,0
2018-08-01,0.012814
2018-09-01,0.024745
2018-10-01,0
2018-11-01,0.006472
2018-12-01,0.029089
2019-01-01,0.010447
2019-02-01,0
2019-03-01,6.51e-4
2019-04-01,0
2019-05-01,-0.032848
2019-06-01,-0.034966
2019-07-01,0.042182
2019-08-01,0
2019-09-01,0.025901
2019-10-01,0.023672
2019-11-01,0
2019-12-01,0.019592
2020-01-01,0.020751
2020-02-01,0
2020-03-01,0
2020-04-01,-0.003069
2020-05-01,0
2020-06-01,-0.008409
2020-07-01,0.015727
2020-08-01,0
2020-09-01,-0.037729
2020-10-01,0
2020-11-01,1.77e-4
2020-12-01,0.020412
2021-01-01,-0.035168
2021-02-01,0
2021-03-01,-0.012609
2021-04-01,-0.025979
2021-05-01,0
2021-06-01,-0.003388
2021-07-01,4.89e-4
2021-08-01,0
2021-09-01,-0.01171
2021-10-01,0
2021-11-01,-0.019836
2021-12-01,-0.010864
2022-01-01,-0.010294
