Date,Monthly Residuals
2013-04-01,0
2013-05-01,0.022624
2013-06-01,0.024378
2013-07-01,-0.013034
2013-08-01,0
2013-09-01,0.005073
2013-10-01,0.004847
2013-11-01,0
2013-12-01,0.012662
2014-01-01,0.010211
2014-02-01,0
2014-03-01,0.010446
2014-04-01,0.003374
2014-05-01,0
2014-06-01,0.004665
2014-07-01,-0.004487
2014-08-01,0
2014-09-01,0.008933
2014-10-01,0.019945
2014-11-01,0
2014-12-01,0.013343
2015-01-01,0.006734
2015-02-01,0
2015-03-01,-0.020481
2015-04-01,-0.008358
2015-05-01,0
2015-06-01,-0.018158
2015-07-01,-0.001618
2015-08-01,0
2015-09-01,-0.054315
2015-10-01,0.044072
2015-11-01,0
2015-12-01,0.024922
2016-01-01,0.007713
2016-02-01,0
2016-03-01,-0.045634
2016-04-01,0.016153
2016-05-01,0
2016-06-01,-0.033754
2016-07-01,0.011311
2016-08-01,0
2016-09-01,-0.006219
2016-10-01,0
2016-11-01,7.7e-4
2016-12-01,0.007972
2017-01-01,0
2017-02-01,-0.002768
2017-03-01,-0.019011
2017-04-01,0
2017-05-01,0.016668
2017-06-01,0.028652
2017-07-01,-0.007682
2017-08-01,0
2017-09-01,0.015987
2017-10-01,0
2017-11-01,0.003285
2017-12-01,-0.004538
2018-01-01,0.02484
2018-02-01,0
2018-03-01,0.013636
2018-04-01,0
2018-05-01,0.029166
2018-06-01,0.008534
2018-07-01,0
2018-08-01,0.023504
2018-09-01,0.034931
2018-10-01,0
2018-11-01,0.006625
2018-12-01,0.029229
2019-01-01,0.01595
2019-02-01,0
2019-03-01,-4.87e-4
2019-04-01,0
2019-05-01,-0.019174
2019-06-01,-0.018635
2019-07-01,0.063219
2019-08-01,0
2019-09-01,0.044258
2019-10-01,0.037097
2019-11-01,0
2019-12-01,0.020331
2020-01-01,0.025732
2020-02-01,0
2020-03-01,-0.166114
2020-04-01,-0.011426
2020-05-01,0
2020-06-01,0.021965
2020-07-01,0.020802
2020-08-01,0
2020-09-01,-0.019714
2020-10-01,0
2020-11-01,-0.012588
2020-12-01,-7.65e-4
2021-01-01,-0.006028
2021-02-01,0
2021-03-01,-0.008716
2021-04-01,-0.001376
2021-05-01,0
2021-06-01,0.005766
2021-07-01,-0.001413
2021-08-01,0
2021-09-01,-0.00869
2021-10-01,0
2021-11-01,-0.010513
2021-12-01,-0.001239
2022-01-01,0.014221
