a1_1_1,a1_2_1,a1_3_1,a1_1_2,a1_2_2,a1_3_2,a1_1_3,a1_2_3,a1_3_3,a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
0.8727,-0.2101,0.2186,0.0056,0.4289,0.0738,-0.041,0.0843,0,2.5255,1.9238,0.5266,0.3939,0.2717,0.3964,-0.0645,0.1025,0.0189,0.0474,0.5038,-0.8345,1,1,-0.18,-0.0483,0.286,0.2809,0,0,1,1,-0.1323,-0.5123,0,0,0,0,1,1,0.3375,0.9527,0.4694,0.7535,0.7612,2.8568
0.84,-0.28,0.05,-0.04,0.38,-0.06,-0.07,0.06,0,2.18,1.55,0.24,0.16,0.1,0.18,-0.11,-0.03,-0.03,-0.05,0.42,-1.16,1,1,-0.26,-0.13,0.12,0.05,0,0,1,1,-0.27,-0.85,0,0,0,0,1,1,0.31,0.87,0.44,0.69,0.7,2.61
0.91,-0.14,0.38,0.06,0.49,0.21,-0.01,0.11,0,2.85,2.35,0.82,0.77,0.6,0.7,-0.02,0.23,0.08,0.15,0.6,-0.55,1,1,-0.1,0.03,0.45,0.51,0,0,1,1,0.03,-0.16,0,0,0,0,1,1,0.36,1.04,0.5,0.82,0.82,3.15
