dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1970-02-01,4713.41850431015,22.382939159282,58.5762631578947,14.099,13.019,8.98,39.2219,38.1
1970-03-01,4723.82153783113,22.4961386343674,58.0100857142857,14.071,13.173,7.76,39.171,38.3
1970-04-01,4712.50398486919,22.6186396903034,58.3013272727273,14.209,13.364,8.1,39.0702,38.5
1970-05-01,4715.63945424695,22.6838834785625,57.862965,14.007,13.04,7.94,39.0247,38.6
1970-06-01,4718.05656088391,22.7794768311339,57.6847409090909,14.078,13.197,7.6,38.8985,38.8
1970-07-01,4753.49283627624,22.8218545092191,57.8171954545455,14.159,12.799,7.21,38.994,38.9
1970-08-01,4766.07723873268,22.868641385088,59.8789666666667,14.282,13.445,6.61,38.9245,39
1970-09-01,4752.02992499113,22.9495041056929,60.5490047619048,14.447,13.847,6.29,38.6561,39.2
1970-10-01,4677.22617402381,23.0509319622646,59.7354136363636,14.48,14.017,6.2,37.8829,39.4
1970-11-01,4666.47394155876,23.1705502198386,59.6295421052632,14.47,14.055,5.6,37.6534,39.6
1970-12-01,4781.19988441751,23.3245178178969,59.4545636363636,14.558,14.225,4.9,38.5182,39.8
1971-01-01,4835.89205523567,23.4549027310809,59.301285,14.604,14.24,4.14,38.8144,39.9
1971-02-01,4837.15899604035,23.5233896417277,58.9572842105263,14.819,14.488,3.72,38.7405,39.9
1971-03-01,4829.84894872402,23.6297076271913,57.6832869565217,14.798,14.479,3.71,38.6985,40
1971-04-01,4839.33048334815,23.7240025343747,58.0555619047619,14.759,14.606,4.15,38.9158,40.1
1971-05-01,4859.01015829807,23.8485093761303,58.441235,14.982,14.698,4.63,39.1133,40.3
1971-06-01,4887.35935835384,23.965488089495,58.8325954545454,15.057,14.564,4.91,39.2773,40.5
1971-07-01,4897.10258098097,24.0371974431269,57.7086952380952,15.125,14.302,5.31,39.1633,40.6
1971-08-01,4874.56315617622,24.0851486905233,57.7086772727273,15.19,14.38,5.56,38.936,40.7
1971-09-01,4928.33426284287,24.1416538663498,56.8307142857143,15.423,14.928,5.55,39.5688,40.8
1971-10-01,4924.90986980423,24.1945975763473,56.6699952380952,15.211,14.854,5.2,39.865,40.9
1971-11-01,4904.38352210674,24.2788939541319,56.5689476190476,15.247,14.864,4.91,40.0342,41
1971-12-01,4913.60660808909,24.3905084695207,58.3453142857143,15.23,15.104,4.14,40.4964,41.1
1972-01-01,4977.04004688667,24.5536819388905,60.2507142857143,15.369,15.347,3.5,41.4709,41.2
1972-02-01,4998.08545093347,24.7045104942088,60.805525,15.363,15.331,3.29,41.8616,41.4
1972-03-01,5032.07450217994,24.7338075669007,62.3247590909091,15.48,15.382,3.83,42.1645,41.4
1972-04-01,5104.30911948906,24.7669251848407,63.730315,15.651,15.534,4.17,42.6064,41.5
1972-05-01,5115.74163324319,24.8092411730154,65.2385227272727,15.739,15.628,4.27,42.582,41.6
1972-06-01,5134.84924726781,24.868833642144,64.1609772727273,15.909,15.809,4.46,42.7051,41.7
1972-07-01,5130.02744287122,24.9497436235836,65.415525,15.835,15.597,4.55,42.6924,41.8
1972-08-01,5178.06827311604,25.0311971295404,67.7086869565217,16.01,15.623,4.8,43.2568,41.9
1972-09-01,5188.10428401281,25.163059246876,68.510495,16,15.459,4.87,43.5838,42.1
1972-10-01,5215.5225434705,25.2698464571878,69.5915727272727,16.193,15.637,5.04,44.1699,42.2
1972-11-01,5247.10824283064,25.3875295525412,71.53691,16.441,15.833,5.06,44.6846,42.4
1972-12-01,5290.96921369897,25.440623990271,76.5310157894737,16.645,15.595,5.33,45.2006,42.5
1973-01-01,5322.5719396565,25.528853480391,78.3567857142857,16.708,15.548,5.94,45.498,42.7
1973-02-01,5403.05812434949,25.652040005487,79.4909684210526,16.714,15.12,6.58,46.1773,43
1973-03-01,5415.86993599409,25.8021065141221,83.0103772727273,16.923,15.099,7.09,46.1937,43.4
1973-04-01,5425.71351642455,25.9277978722834,85.680775,16.731,15.02,7.12,46.1272,43.7
1973-05-01,5457.25875117438,26.0314801862051,93.2492136363636,16.672,14.829,7.84,46.4199,43.9
1973-06-01,5441.52773240113,26.1967219415116,98.0872523809524,16.746,14.895,8.49,46.4535,44.2
1973-07-01,5425.37386085955,26.2725511901038,105.883766666667,16.988,15.035,10.4,46.648,44.2
1973-08-01,5389.57679900859,26.6248902950099,127.4853,16.796,14.631,10.5,46.5669,45
1973-09-01,5420.74934013191,26.7495585148863,132.144726315789,16.735,14.883,10.78,46.9866,45.2
1973-10-01,5451.12811598275,26.9444735402956,128.951159090909,16.924,15.448,10.01,47.2997,45.6
1973-11-01,5475.37649959748,27.0646377161315,124.091871428571,16.978,15.585,10.03,47.548,45.9
1973-12-01,5460.69538441983,27.2218887435729,133.934747368421,17.021,15.723,9.95,47.4375,46.3
1974-01-01,5422.71414486858,27.383915028844,140.526331818182,17.222,16.171,9.65,47.1083,46.8
1974-02-01,5409.75590330463,27.5794755516887,145.092377777778,17.125,15.933,8.97,46.9634,47.3
1974-03-01,5418.52995182686,27.8126094194673,140.794880952381,17.131,15.817,9.35,46.9733,47.8
1974-04-01,5414.67646166684,27.9755200860367,139.007042857143,17.298,15.561,10.51,46.83,48.1
1974-05-01,5451.51896809976,28.2479044260851,137.781722727273,17.423,14.833,11.31,47.1848,48.6
1974-06-01,5427.70457023343,28.5205754878783,142.658375,17.367,14.361,11.93,47.1292,49
1974-07-01,5397.59487247048,28.7127658108482,149.247077272727,17.486,14.185,12.92,47.1505,49.3
1974-08-01,5348.73684548444,29.0493973791159,151.187918181818,17.391,14.055,12.01,46.6882,49.9
1974-09-01,5389.76828204516,29.4388368100359,150.615155,17.385,14.102,11.34,46.7161,50.6
1974-10-01,5442.80154043992,29.6654955044463,160.969256521739,17.349,15.536,10.06,46.536,51
1974-11-01,5355.77516496024,29.9260810832376,176.507557894737,17.453,16.201,9.45,45.0062,51.5
1974-12-01,5273.02329459989,30.1774234123161,158.687585714286,17.55,16.823,8.53,43.4204,51.9
1975-01-01,5311.24761986794,30.4088076707818,145.550863636364,17.273,16.874,7.13,42.8246,52.3
1975-02-01,5280.18989674024,30.6158448580191,138.349226315789,17.271,17.123,6.24,41.8301,52.6
1975-03-01,5285.76248339191,30.7783474711992,125.51565,17.439,17.333,5.54,41.3862,52.8
1975-04-01,5320.48524199848,30.9259892172635,123.778781818182,17.498,17.387,5.49,41.4258,53
1975-05-01,5324.8235141663,31.0208731730604,112.875947619048,17.353,17.288,5.22,41.3326,53.1
1975-06-01,5354.2912438353,31.2301376096762,109.229152380952,17.715,17.488,5.55,41.6042,53.5
1975-07-01,5382.32581550445,31.4702211451497,120.368068181818,17.632,17.331,6.1,42.0025,54
1975-08-01,5417.34914056739,31.578288230207,130.959280952381,17.66,17.449,6.14,42.4426,54.2
1975-09-01,5464.5250439281,31.787490624644,128.204257142857,17.834,17.438,6.24,42.9708,54.6
1975-10-01,5476.32760790673,31.9522893871047,123.928343478261,17.587,17.397,5.82,43.1611,54.9
1975-11-01,5477.81116515955,32.1584515916538,118.474073684211,17.849,17.789,5.22,43.2561,55.3
1975-12-01,5529.06122693377,32.3062590212416,119.673214285714,17.822,17.692,5.2,43.7944,55.6
1976-01-01,5591.57740969859,32.3997519529265,122.820561904762,17.616,17.537,4.87,44.4309,55.8
1976-02-01,5632.38812772054,32.468624691451,125.489810526316,17.806,17.725,4.77,44.8644,55.9
1976-03-01,5631.53446258098,32.5506233556227,127.410613043478,17.875,17.821,4.84,44.916,56
1976-04-01,5654.56863815056,32.6457520076275,130.728019047619,17.719,17.675,4.82,45.1733,56.1
1976-05-01,5668.79614255837,32.8123996618856,137.60354,17.94,17.826,5.29,45.3729,56.4
1976-06-01,5659.63521929113,32.950848330487,145.2255,17.946,17.82,5.48,45.3841,56.7
1976-07-01,5676.41682606897,33.0570596962384,147.214171428571,17.846,17.714,5.31,45.6491,57
1976-08-01,5697.47468744248,33.2103171627304,138.131945454545,18.053,17.953,5.29,45.9698,57.3
1976-09-01,5695.50848648858,33.4106231410313,138.682333333333,18.009,17.948,5.25,46.1015,57.6
1976-10-01,5678.66044977501,33.653945970123,141.273314285714,18.077,17.983,5.02,46.1172,57.9
1976-11-01,5738.58528376952,33.8106347114093,144.984515,18.34,18.268,4.95,46.7939,58.1
1976-12-01,5780.25426645558,33.9804193184678,147.928719047619,18.388,18.335,4.65,47.2798,58.4
1977-01-01,5742.0959460929,34.1336385461858,155.329561904762,18.421,18.353,4.61,47.023,58.7
1977-02-01,5805.22164317634,34.401619027119,162.970289473684,18.299,18.227,4.68,47.7335,59.3
1977-03-01,5850.28241073081,34.5417424266954,177.607708695652,18.405,18.301,4.69,48.3415,59.6
1977-04-01,5869.67868566188,34.7372984424716,175.88932,18.479,18.406,4.73,48.7789,60
1977-05-01,5908.57801371881,34.8265677627238,172.281323809524,18.585,18.379,5.35,49.2046,60.2
1977-06-01,5960.7433006194,34.9591337948047,164.840268181818,18.471,18.208,5.39,49.5627,60.5
1977-07-01,6002.26838634149,35.0810973634973,154.947852631579,18.748,18.425,5.42,49.6389,60.8
1977-08-01,6016.16869538396,35.2616900794993,146.900913043478,18.919,17.858,5.9,49.6517,61.1
1977-09-01,6034.36291827462,35.4672125570035,150.89419047619,18.873,18.247,6.14,49.8872,61.3
