date,gz_spread,ebp,est_prob
1973-01-01,1.116861064445896,0.02008459893225356,0.23499652586416073
1973-02-01,1.0454231431408945,-0.01167236970422447,0.22373572481143977
1973-03-01,0.9956893667936306,-0.10368266520612623,0.19289871733188865
1973-04-01,0.955332719808464,-0.16116592846472677,0.17502212963162864
1973-05-01,1.007392811089747,-0.06189961087400109,0.20656747799876032
1973-06-01,1.1422628080798305,0.04562699511349533,0.24427628645976224
1973-07-01,0.9332407654266386,-0.3174686189536431,0.13192567512831188
1973-08-01,0.963220967891587,-0.17652372465320665,0.17042988714263616
1973-09-01,0.770816861878995,-0.34792818668351577,0.124462634234299
1973-10-01,1.2497138005254331,0.15192841137480784,0.28492599699331517
1973-11-01,1.3092866490080168,0.0787615333248155,0.25660276225889594
1973-12-01,1.2524068787218463,0.02707438150446495,0.2375164440771955
1974-01-01,1.1290295543952746,-0.02172669415794947,0.2202355213499863
1974-02-01,1.2493236783221082,0.16762747416630577,0.2911919525665556
1974-03-01,1.1626342977621722,-0.07978720378376902,0.20064690110731784
1974-04-01,1.1758896088595745,0.07178975263828669,0.25398253495694567
1974-05-01,1.2171906475174696,0.08048274495908969,0.2572518109695311
1974-06-01,1.751911997703672,0.6687847316921893,0.5144823102805127
1974-07-01,2.439163257937959,1.2160584176737064,0.7506285076418273
1974-08-01,1.9359294728723535,0.8148935253242771,0.582079689221503
1974-09-01,2.194856235330312,0.9040184405365316,0.6222776642055332
1974-10-01,2.4107975472806484,1.0614181041030255,0.6899054697168991
1974-11-01,2.2072418424169995,1.0032451793976924,0.6655055704457365
1974-12-01,2.530087439423597,1.1661481158365532,0.73174120993491
1975-01-01,1.6742991506953706,0.4024899211198891,0.391588330164227
1975-02-01,1.5799738986631373,0.4030024016692364,0.39181861385240807
1975-03-01,1.8300377598155575,0.5874807635411372,0.4765583103614987
1975-04-01,1.4900720316844875,0.22700920705032512,0.31545525950171643
1975-05-01,1.54039950108931,0.33921221115668154,0.363469907450715
1975-06-01,1.4051214139131984,0.2357101139947475,0.3190817708797371
1975-07-01,1.429246002425822,0.3555578654148701,0.3706700475206513
1975-08-01,1.248116481763666,0.1109365969303091,0.26887512822853393
1975-09-01,1.3649934006803193,0.2826349864048303,0.33893228529668074
1975-10-01,1.3048997034931271,0.0971241480696412,0.2635708189615638
1975-11-01,1.2765636594092629,0.1634058646084695,0.2895006719912759
1975-12-01,1.2067277428759606,-0.04372855999961178,0.21268656541510053
1976-01-01,0.9720391975026756,-0.15666371822741332,0.17638311157856804
1976-02-01,1.0469007895261249,-0.06390340670648209,0.2058991443662885
1976-03-01,0.995522519169208,-0.11100408623569402,0.1905617902858052
1976-04-01,1.0375807310964726,-0.0535140595663186,0.20937825019939107
1976-05-01,1.0054848665207656,-0.11286862261867792,0.1899694365556222
1976-06-01,0.9980277055884572,-0.04793520282983066,0.2112606440524912
1976-07-01,0.9617176785764168,-0.08966301167463919,0.19742223865761233
1976-08-01,0.9067231111101016,-0.150675310027372,0.17820370451945736
1976-09-01,0.8457769940052607,-0.19961269208740917,0.16367253246425892
1976-10-01,0.927172185466755,-0.12045205245113456,0.18757190363677537
1976-11-01,0.8363807472088767,-0.3719498501546936,0.11878895691570136
1976-12-01,1.1008449514654142,-0.03320908668009847,0.21627684123767768
1977-01-01,0.9775058926526472,-0.3091900306810954,0.13400633012078275
1977-02-01,0.9206514937709136,-0.20297594239913497,0.16270293827925636
1977-03-01,0.9071250487410132,-0.17261747936593397,0.17159053894804835
1977-04-01,0.8503124293583652,-0.255629722293807,0.14801148220294022
1977-05-01,0.7991848859930059,-0.26332972956529244,0.14593988036506014
1977-06-01,0.8388334153822724,-0.2766551204525124,0.14240106575438513
1977-07-01,0.8732945856008134,-0.1899469836914034,0.16647990310616592
1977-08-01,0.9401793522927484,-0.17935301848674545,0.1695923741970538
1977-09-01,0.9433366491592144,-0.14949530953033896,0.17856383967987874
1977-10-01,0.9552974404098606,-0.13607733234397568,0.18269118515597044
1977-11-01,0.9350281806071988,-0.14273292923614034,0.18063654311585223
1977-12-01,0.7982260845989971,-0.3263791760600555,0.12971120629177585
1978-01-01,0.7722852808027243,-0.3290422308214471,0.1290544043559
1978-02-01,0.7191687235261857,-0.34379534280438695,0.1254575637501087
1978-03-01,0.724144438446155,-0.34237048575128604,0.12580186324634857
1978-04-01,0.7369143187339418,-0.28948996276669736,0.1390478442510569
1978-05-01,0.7784348604544219,-0.2480295146639454,0.15007544500314332
1978-06-01,0.6284680760034279,-0.4527026864229856,0.10106245095653404
1978-07-01,0.625992028822881,-0.36706752147751465,0.11992706381746486
1978-08-01,0.620575869039057,-0.3790313361677763,0.11715180225414527
1978-09-01,0.6436323087965212,-0.3223453233053447,0.1307104975652098
1978-10-01,0.5794872265272164,-0.4869477183697517,0.0941578241051564
1978-11-01,0.6671743787992496,-0.25624452608999415,0.14784535660256864
1978-12-01,0.6499979599323955,-0.3828840131372928,0.11626785366979972
1979-01-01,0.7039829465584163,-0.25729876728366996,0.14756078167848435
1979-02-01,0.6638576645251245,-0.3216011725640773,0.13089542314237182
1979-03-01,0.6509336057046974,-0.18974920396761977,0.1665376701959944
1979-04-01,0.6444352858071002,-0.23770129736065648,0.15291085904997692
1979-05-01,0.7059792549205227,-0.26523371480599056,0.1454306532240094
1979-06-01,0.7373058078232384,-0.18756435121094417,0.16717667824471172
1979-07-01,0.6516171960944988,-0.2617532188544244,0.14636242906648503
1979-08-01,0.5858824075195032,-0.33833496379109806,0.12678057305524473
