a1_1_1,a1_2_1,a1_3_1,a1_1_2,a1_2_2,a1_3_2,a1_1_3,a1_2_3,a1_3_3,a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
0.8601,-0.192,0.0043,-0.0019,0.4233,-1.4751,0.0039,0.0203,0.7723,1.7379,0.8762,0.7023,0.4371,0.2937,0.4154,-0.1114,0.225,0.0405,0.0022,0.0163,0.0163,1,1,-0.1393,-0.0175,0.0727,-0.0625,0,0,1,1,-1.9064,-2.5139,0,0,0,0,1,1,0.2919,1.0055,0.454,0.8159,1.0008,1.9658
0.82,-0.27,-0.19,-0.06,0.34,-1.67,-0.01,0,0.73,1.33,0.41,0.36,0.15,0.12,0.16,-0.15,0.07,-0.02,-0.14,-0.03,0.02,1,1,-0.24,-0.1,-0.15,-0.27,0,0,1,1,-2.11,-2.77,0,0,0,0,1,1,0.26,0.91,0.42,0.74,0.92,1.77
0.9,-0.11,0.2,0.06,0.5,-1.28,0.02,0.04,0.82,2.18,1.35,1.11,0.88,0.54,0.79,-0.07,0.39,0.1,0.13,0.11,0.02,1,1,-0.04,0.07,0.3,0.14,0,0,1,1,-1.7,-2.25,0,0,0,0,1,1,0.32,1.12,0.49,0.91,1.08,2.19
