dates,dYsim_10,dYsim_25,dYsim_75,dYsim_90,data,dYsim_10_cf1,dYsim_25_cf1,dYsim_75_cf1,dYsim_90_cf1,dYsim_10_cf2,dYsim_25_cf2,dYsim_75_cf2,dYsim_90_cf2
01-Jan-2000,0.718174954187619,1.82861686132777,3.69710314608185,4.51159246056812,2.97656908307524,2.03837063562905,2.50337084761867,3.52609903076756,3.99705735901576,1.21549709771536,2.09341146168849,3.74705560327098,4.40946575876916
01-Feb-2000,0.775593900172791,1.87153736558485,3.80394183641635,4.51823897741301,2.86283928267808,2.0729329114772,2.53887747750506,3.57090309287548,4.06582061801122,1.28289983267541,2.12729980593752,3.81344446063587,4.57090698665784
01-Mar-2000,1.11140967643568,2.17758573666436,4.15175643464049,4.83254378150506,2.64636498069734,2.20739891659792,2.68256932317194,3.76756035717819,4.23201555571652,1.68876618758219,2.58178741559234,4.27421540821671,5.06111346233295
01-Apr-2000,1.57834231534212,2.69083738977132,4.78062500551914,5.49604487312913,2.34628748709854,2.57192276965992,3.11483940919712,4.23169420343025,4.68497993260924,2.62137615258425,3.42067229563193,5.05260040645373,5.80733595566579
01-May-2000,0.670796792652049,1.95519428524719,4.25077076080553,5.06570252380168,1.87918084504489,2.34909196747209,2.83055266576015,4.00770908889772,4.48912752569946,2.31385846216893,3.14847333235613,4.71329308240421,5.34474432337876
01-Jun-2000,0.284340582731071,1.44457291405893,3.75137870187738,4.61167671180678,1.44368208207297,2.22373353518056,2.74309016864394,3.80240338805876,4.29887175333516,2.01918594888285,2.81191576927513,4.39283653891496,5.09157159410516
01-Jul-2000,-0.22457814900442,0.84902074011564,3.13098282379724,3.93169641421967,1.0960452728484,1.9056365959472,2.36617599088395,3.40708072510622,3.9089893645274,1.05373331131171,1.90292674826671,3.48859389761027,4.2097080161233
01-Aug-2000,-0.439987450773504,0.797858529142189,2.96113407265953,3.79934849455951,0.915420473660436,1.69063952846105,2.19422149768522,3.27569736422158,3.75742480434067,0.675763826011298,1.50172726372733,3.29341006308075,3.97159618222159
01-Sep-2000,-0.173612297692614,1.05067340881884,3.24048467329266,4.10230875171421,0.860733831057589,1.95458548103809,2.41835382207211,3.4698774338977,3.95610809489581,1.34320347820379,2.05551656314914,3.77355368009754,4.58676419574868
01-Oct-2000,-0.599342313974502,0.654703097758167,3.03682665742141,3.96267079883051,0.563553761206183,1.97090684843784,2.45522532754385,3.53632697497757,4.00754872961858,1.26690025469728,2.09674549485898,3.74619273981578,4.45960819759422
01-Nov-2000,-0.336897717628591,0.929363437266432,3.15234695500645,4.12315077446948,0.352848708305975,2.01045751586338,2.50118502327203,3.58746929314983,4.04641402998048,1.28000330260117,2.13793540716794,3.92140820551982,4.71515412537498
01-Dec-2000,-1.01609394910039,0.209850775652351,2.55135582556288,3.45368497884442,0.129261901416839,1.82920408225236,2.3196565379663,3.45213168199365,3.90507488360131,0.896492060129196,1.75235468774861,3.53614569339164,4.30354305984703
01-Jan-2001,-1.02417555310414,0.139932477530193,2.37853631658852,3.27442803747507,0.220086117190621,1.65843172959247,2.0927708229891,3.22554515337134,3.75771930321025,0.435488984031693,1.21870275566173,2.9778344878994,3.69304455591361
01-Feb-2001,-1.02308511163776,0.10693258081552,2.30254831845304,3.18864928005161,0.629587203237775,1.45288565940745,1.91134655193262,3.0752559700474,3.62286082874498,0.151311751554638,1.02227127925167,2.76979283501778,3.53623348460142
01-Mar-2001,-1.30063143128424,-0.0589191925228516,2.29979321819737,3.23795580246341,1.02886615029503,1.55863453418095,2.08356382709507,3.4390838372922,4.03438714203243,0.153916321706705,1.09529995252258,3.01422655785625,3.84410543246693
01-Apr-2001,-0.692145969333056,0.521454233020559,2.95086762531842,3.90461612929297,1.35743067377952,1.92928207710193,2.4684103708497,3.73436576501069,4.28981032849883,0.857122049284616,1.72583698799845,3.57549965469685,4.46478972691687
01-May-2001,-0.00759696886256278,1.11679435771474,3.34248900175202,4.17482645780528,1.30861059657406,1.91024867787299,2.45049755821391,3.61178993323284,4.17311594942914,0.972231000459324,1.862103368737,3.61653746295993,4.43987579785059
01-Jun-2001,-0.0570342235266272,0.95375542894265,3.15238017777829,4.08926279339172,1.25280907068586,1.86920115384205,2.32586725329081,3.51966541746227,4.07940232184526,0.690427411781373,1.59677803558142,3.44669532280889,4.27654199555791
01-Jul-2001,-0.110324135813497,0.851628004111264,2.77254617462577,3.66467207021834,1.37903371386757,1.50739695218867,1.99031382159105,3.19653643278082,3.78550467957333,0.400858366050564,1.24353240408023,2.98600548984371,3.7908279934157
01-Aug-2001,0.25228896567443,1.21916551921831,3.08949625676598,3.85783475195949,1.64327328050873,1.63594958444457,2.09917899033674,3.24882136067443,3.76672550110746,0.75014621474332,1.56490980623776,3.21255468717104,3.93063606187827
01-Sep-2001,-0.875522497189755,0.323738417477753,2.40669116597243,3.23078860253714,1.91690376181186,1.51900610735151,2.01965198778312,3.2890867845062,3.89206029519426,0.444168579474551,1.27516525166617,2.89658667587196,3.65737191888309
01-Oct-2001,0.0556406951031603,1.08413495290696,3.05960159599033,3.91715645755528,2.21575937989488,1.80577695258385,2.27164720433622,3.41217470709783,3.95611370888555,1.06574953053237,1.8252947647235,3.35348970331023,4.1412822113074
01-Nov-2001,0.528351872710934,1.48759719347071,3.30575640543958,4.04979307107925,2.22147352225472,1.57389797063772,2.06503145739344,3.27363465721741,3.84324076515348,0.669407042447473,1.53962694875497,3.31185283389813,4.05619085110557
