a1_1_1,a1_2_1,a1_3_1,a1_1_2,a1_2_2,a1_3_2,a1_1_3,a1_2_3,a1_3_3,a12,a21,b12,c12,b21,c21,c_1_1_sync_1,c_1_1_sync_2,c_2_1_sync_1,c_2_1_sync_2,c_3_1_sync_1,c_3_1_sync_2,a0_1_1_sync_1,a0_1_1_sync_2,a0_2_1_sync_1,a0_2_1_sync_2,a0_3_1_sync_1,a0_3_1_sync_2,a0_1_2_sync_1,a0_1_2_sync_2,a0_2_2_sync_1,a0_2_2_sync_2,a0_3_2_sync_1,a0_3_2_sync_2,a0_1_3_sync_1,a0_1_3_sync_2,a0_2_3_sync_1,a0_2_3_sync_2,a0_3_3_sync_1,a0_3_3_sync_2,s_1_1_sync_1,s_1_1_sync_2,s_2_2_sync_1,s_2_2_sync_2,s_3_3_sync_1,s_3_3_sync_2
0.8713,-0.21,0.222,0.0083,0.4289,0.0743,-0.0394,0.0832,0,2.5288,1.9589,0.5066,0.3967,0.2198,0.4258,-0.0651,0.1069,0.0219,0.0497,0.5101,-0.8603,1,1,-0.1781,-0.0434,0.2901,0.2941,0,0,1,1,-0.1334,-0.5167,0,0,0,0,1,1,0.3344,0.939,0.4657,0.7403,0.7525,2.8033
0.84,-0.28,0.05,-0.04,0.38,-0.06,-0.07,0.05,0,2.18,1.58,0.22,0.16,0.05,0.21,-0.11,-0.02,-0.02,-0.05,0.42,-1.19,1,1,-0.26,-0.12,0.12,0.06,0,0,1,1,-0.27,-0.86,0,0,0,0,1,1,0.31,0.86,0.43,0.68,0.7,2.56
0.91,-0.14,0.38,0.06,0.49,0.21,-0.01,0.11,0,2.85,2.39,0.8,0.77,0.54,0.73,-0.02,0.23,0.08,0.15,0.6,-0.57,1,1,-0.09,0.04,0.45,0.52,0,0,1,1,0.03,-0.16,0,0,0,0,1,1,0.36,1.02,0.5,0.81,0.81,3.09
