dates,data_rs,data_ip,data_neo,data_gdp,data_uclaims
1977m7,7.754828659,1.681741315,NaN,NaN,0.365371589
1977m8,-6.945424684,0.337522349,NaN,NaN,0.369593221
1977m9,1.324367617,5.764479274,NaN,7.153062562,0.370778157
1977m10,17.77775842,2.300472124,NaN,NaN,0.359665381
1977m11,1.695379796,1.265430077,NaN,NaN,0.351475501
1977m12,-0.299688786,2.002676316,NaN,0.008748597,0.357842991
1978m1,-31.61904332,-16.66923874,NaN,NaN,0.347962289
1978m2,22.26813624,5.926010048,NaN,NaN,0.380068824
1978m3,21.63423959,22.65864622,NaN,1.274677502,0.345230087
1978m4,20.18565766,24.60667424,NaN,NaN,0.320948274
1978m5,-3.528323687,4.443052336,NaN,NaN,0.320915443
1978m6,11.31227985,8.239319934,NaN,15.16583194,0.316740092
1978m7,-17.00866264,-0.556461515,NaN,NaN,0.341995527
1978m8,8.439035583,4.497404737,NaN,NaN,0.340207392
1978m9,-5.29985999,3.026419567,NaN,4.002004796,0.313828494
1978m10,10.39754989,9.587121935,NaN,NaN,0.318441987
1978m11,11.10603843,9.057023377,NaN,NaN,0.3191325
1978m12,8.708046767,6.398164149,NaN,5.340771499,0.342552187
1979m1,-17.98197261,-7.74116947,NaN,NaN,0.343561702
1979m2,-2.134009231,6.430061373,NaN,NaN,0.343055635
1979m3,11.83985866,3.751842469,NaN,0.718488979,0.34229221
1979m4,-14.6836476,-13.61406673,NaN,NaN,0.398859578
1979m5,-1.155113287,9.601181029,NaN,NaN,0.334066103
1979m6,-8.263937186,-0.067520425,NaN,0.427487661,0.344043273
1979m7,-18.40874364,-1.630646184,NaN,NaN,0.361183597
1979m8,32.16913854,-7.991496861,NaN,NaN,0.374657456
1979m9,0.457834134,1.331084761,NaN,2.960511107,0.365583246
1979m10,-21.50468003,6.563494584,NaN,NaN,0.380558184
1979m11,3.189725142,-1.064353622,NaN,NaN,0.390551166
1979m12,-10.70368154,1.544356783,NaN,0.999045498,0.402981423
1980m1,8.116226283,5.471516729,NaN,NaN,0.388740827
1980m2,-25.25756468,0.035884832,NaN,NaN,0.391763592
1980m3,-34.82019317,-3.951528684,NaN,1.256086864,0.407545894
1980m4,-27.96163241,-24.91416944,NaN,NaN,0.49699318
1980m5,-11.10311597,-29.53246705,NaN,NaN,0.575896155
1980m6,4.716633827,-14.90266797,NaN,-8.328002818,0.568458513
1980m7,23.3934078,-9.300312805,NaN,NaN,0.521888036
1980m8,3.177916952,4.302515406,NaN,NaN,0.493160917
1980m9,-6.207170149,19.30695628,NaN,-0.475677292,0.450755383
1980m10,16.27501618,15.04586141,NaN,NaN,0.407802244
1980m11,-2.90035401,20.53772752,NaN,NaN,0.383571322
