dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1971-11-01,4904.38352210678,24.278893954132,56.5689476190476,15.247,14.864,4.91,40.0342,41
1971-12-01,4913.60660808913,24.3905084695209,58.3453142857143,15.23,15.104,4.14,40.4964,41.1
1972-01-01,4977.04004688673,24.5536819388906,60.2507142857143,15.369,15.347,3.5,41.4709,41.2
1972-02-01,4998.08545093352,24.7045104942088,60.805525,15.363,15.331,3.29,41.8616,41.4
1972-03-01,5032.07450218003,24.7338075669007,62.3247590909091,15.48,15.382,3.83,42.1645,41.4
1972-04-01,5104.30911948914,24.7669251848407,63.730315,15.651,15.534,4.17,42.6064,41.5
1972-05-01,5115.74163324321,24.8092411730154,65.2385227272727,15.739,15.628,4.27,42.582,41.6
1972-06-01,5134.84924726789,24.868833642144,64.1609772727273,15.909,15.809,4.46,42.7051,41.7
1972-07-01,5130.02744287131,24.9497436235836,65.415525,15.835,15.597,4.55,42.6924,41.8
1972-08-01,5178.0682731161,25.0311971295404,67.7086869565217,16.01,15.623,4.8,43.2568,41.9
1972-09-01,5188.10428401287,25.163059246876,68.510495,16,15.459,4.87,43.5838,42.1
1972-10-01,5215.52254347055,25.2698464571878,69.5915727272727,16.193,15.637,5.04,44.1699,42.2
1972-11-01,5247.10824283069,25.3875295525412,71.53691,16.441,15.833,5.06,44.6846,42.4
1972-12-01,5290.96921369899,25.4406239902711,76.5310157894737,16.645,15.595,5.33,45.2006,42.5
1973-01-01,5322.57193965655,25.5288534803911,78.3567857142857,16.708,15.548,5.94,45.498,42.7
1973-02-01,5403.05812434954,25.652040005487,79.4909684210526,16.714,15.12,6.58,46.1773,43
1973-03-01,5415.86993599411,25.8021065141222,83.0103772727273,16.923,15.099,7.09,46.1937,43.4
1973-04-01,5425.7135164246,25.9277978722834,85.680775,16.731,15.02,7.12,46.1272,43.7
1973-05-01,5457.25875117445,26.0314801862051,93.2492136363636,16.672,14.829,7.84,46.4199,43.9
1973-06-01,5441.52773240115,26.1967219415116,98.0872523809524,16.746,14.895,8.49,46.4535,44.2
1973-07-01,5425.37386085957,26.2725511901039,105.883766666667,16.988,15.035,10.4,46.648,44.2
1973-08-01,5389.57679900858,26.6248902950099,127.4853,16.796,14.631,10.5,46.5669,45
1973-09-01,5420.749340132,26.7495585148864,132.144726315789,16.735,14.883,10.78,46.9866,45.2
1973-10-01,5451.12811598274,26.9444735402956,128.951159090909,16.924,15.448,10.01,47.2997,45.6
1973-11-01,5475.37649959755,27.0646377161315,124.091871428571,16.978,15.585,10.03,47.548,45.9
1973-12-01,5460.69538441985,27.2218887435729,133.934747368421,17.021,15.723,9.95,47.4375,46.3
1974-01-01,5422.71414486862,27.3839150288441,140.526331818182,17.222,16.171,9.65,47.1083,46.8
1974-02-01,5409.75590330461,27.5794755516887,145.092377777778,17.125,15.933,8.97,46.9634,47.3
1974-03-01,5418.52995182687,27.8126094194674,140.794880952381,17.131,15.817,9.35,46.9733,47.8
1974-04-01,5414.67646166692,27.9755200860367,139.007042857143,17.298,15.561,10.51,46.83,48.1
1974-05-01,5451.51896809982,28.2479044260851,137.781722727273,17.423,14.833,11.31,47.1848,48.6
1974-06-01,5427.70457023347,28.5205754878783,142.658375,17.367,14.361,11.93,47.1292,49
1974-07-01,5397.59487247053,28.7127658108482,149.247077272727,17.486,14.185,12.92,47.1505,49.3
1974-08-01,5348.73684548447,29.0493973791159,151.187918181818,17.391,14.055,12.01,46.6882,49.9
1974-09-01,5389.76828204518,29.438836810036,150.615155,17.385,14.102,11.34,46.7161,50.6
1974-10-01,5442.80154044,29.6654955044464,160.969256521739,17.349,15.536,10.06,46.536,51
1974-11-01,5355.77516496025,29.9260810832377,176.507557894737,17.453,16.201,9.45,45.0062,51.5
1974-12-01,5273.0232945999,30.1774234123161,158.687585714286,17.55,16.823,8.53,43.4204,51.9
1975-01-01,5311.24761986795,30.4088076707817,145.550863636364,17.273,16.874,7.13,42.8246,52.3
1975-02-01,5280.18989674029,30.615844858019,138.349226315789,17.271,17.123,6.24,41.8301,52.6
1975-03-01,5285.76248339192,30.7783474711992,125.51565,17.439,17.333,5.54,41.3862,52.8
1975-04-01,5320.48524199852,30.9259892172635,123.778781818182,17.498,17.387,5.49,41.4258,53
1975-05-01,5324.8235141663,31.0208731730604,112.875947619048,17.353,17.288,5.22,41.3326,53.1
1975-06-01,5354.29124383532,31.2301376096761,109.229152380952,17.715,17.488,5.55,41.6042,53.5
1975-07-01,5382.32581550441,31.4702211451497,120.368068181818,17.632,17.331,6.1,42.0025,54
1975-08-01,5417.34914056741,31.5782882302071,130.959280952381,17.66,17.449,6.14,42.4426,54.2
1975-09-01,5464.52504392829,31.7874906246434,128.204257142857,17.834,17.438,6.24,42.9708,54.6
1975-10-01,5476.3276079068,31.9522893871049,123.928343478261,17.587,17.397,5.82,43.1611,54.9
1975-11-01,5477.8111651596,32.1584515916538,118.474073684211,17.849,17.789,5.22,43.2561,55.3
1975-12-01,5529.06122693379,32.3062590212416,119.673214285714,17.822,17.692,5.2,43.7944,55.6
