Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_DJSD,Dow Jones Spot Average,Commodity Indices,United States Dollar,United States,Index Number,Units,Stock,none,Daily From Jan 1950 To Jan 2009<BR>,"The DJ Futures Price Index was introduced on October 3, 1933 and remained the same until July 5, 1950 when the index was broadened and a spot index was introduced.  The new index consisted of wheat, corn, oats, rye, wool tops, cotton, cottonseed oil, coffee, sugar, cocoa, rubber and hides. Additional revisions came in April of 1974, 1980 and 1982. The index is computed as a equal-weighted average of relative price indexes with a base of December 31, 1974 = 100, the day gold trading resumed in the United States. Prior to 1982, the base was 1924/1926= 100. The index includes grain and oilseed (corn, soybeans, and wheat), food and fiber (coffee, cotton, #2, sugar #11 world), Metals (copper, gold, silver), livestock and meat (live cattle and hogs), and wood (lumber).   Prior to January 1982, the Dow Jones Spot Price Index was based entirely on agricultural commodities, but it was revised in 1982 to include wood, livestock and meats, and metals.  The old Spot Index data can be converted to the old base by multiplying the data by 2.867.",
Date,Ticker,Open,High,Low,Close,Volume,Openint,Period_Average
01/31/1950,_DJSD,61.7811,62.7931,61.7811,62.4626,0,,62.3803666666667
02/28/1950,_DJSD,62.381,62.4544,61.6341,62.181,0,,62.0644555555556
03/31/1950,_DJSD,62.3524,63.3073,62.1483,63.3073,0,,62.5118956521739
04/30/1950,_DJSD,63.0665,64.8091,63.0665,64.8091,0,,63.9991526315789
05/31/1950,_DJSD,65.4825,67.8943,65.0254,67.8943,0,,66.5492545454545
06/30/1950,_DJSD,68.1636,68.8002,66.3109,68.8002,0,,67.6648181818182
07/31/1950,_DJSD,69.5797,77.0192,69.5797,76.3867,0,,73.38128
08/31/1950,_DJSD,76.6193,79.0474,75.7215,78.8352,0,,77.2218434782609
09/30/1950,_DJSD,79.0148,81.4348,78.17,78.4271,0,,80.25721
10/31/1950,_DJSD,78.7332,80.8349,77.9333,80.8349,0,,79.0911523809524
11/30/1950,_DJSD,80.7002,84.7689,80.639,84.6709,0,,83.491565
12/31/1950,_DJSD,84.7648,87.9765,83.361,87.3766,0,,85.75587
01/31/1951,_DJSD,86.944,90.6658,86.944,90.0537,0,,88.9145363636364
02/28/1951,_DJSD,90.3271,91.6616,89.8864,90.1965,0,,90.5338777777778
03/31/1951,_DJSD,89.6252,90.7638,88.8743,90.4414,0,,89.8498333333333
04/30/1951,_DJSD,90.2455,90.2455,87.7847,88.5152,0,,88.5235380952381
05/31/1951,_DJSD,88.3315,88.3683,86.4339,86.4339,0,,87.6108863636364
06/30/1951,_DJSD,86.6584,86.6584,82.5978,82.5978,0,,84.9253190476191
07/31/1951,_DJSD,81.0022,81.3042,76.6723,76.758,0,,79.179780952381
